Crop,Acres,Fips,County name,State Abb,State Name,FRIS Demand,Avg water use
Pistachios,5.6,4001,Apache County,AZ,ARIZONA,NA,NA
Corn,1.1,4001,Apache County,AZ,ARIZONA,4.7,5.17
Alfalfa,20827.9,4003,Cochise County,AZ,ARIZONA,5.8,120801.82
Corn,16914.4,4003,Cochise County,AZ,ARIZONA,4.7,79497.68
Pecans,14078.5,4003,Cochise County,AZ,ARIZONA,4.3,60537.55
Winter Wheat,10757.9,4003,Cochise County,AZ,ARIZONA,3.6,38728.44
Cotton,4338.9,4003,Cochise County,AZ,ARIZONA,4.6,19958.94
Sorghum,2275.8,4003,Cochise County,AZ,ARIZONA,4.4,10013.52
Pecans,8.5,4005,Coconino County,AZ,ARIZONA,4.3,36.55
Alfalfa,6.7,4005,Coconino County,AZ,ARIZONA,5.8,38.86
Alfalfa,430.1,4007,Gila County,AZ,ARIZONA,5.8,2494.58
Cotton,24279.7,4009,Graham County,AZ,ARIZONA,4.6,111686.62
Alfalfa,7295,4009,Graham County,AZ,ARIZONA,5.8,42311
Corn,2607.1,4009,Graham County,AZ,ARIZONA,4.7,12253.37
Winter Wheat,2481.5,4009,Graham County,AZ,ARIZONA,3.6,8933.4
Dry Beans,1818.3,4009,Graham County,AZ,ARIZONA,2.3,4182.09
Alfalfa,1301.7,4011,Greenlee County,AZ,ARIZONA,5.8,7549.86
Pecans,1004.1,4011,Greenlee County,AZ,ARIZONA,4.3,4317.63
Cotton,911.8,4011,Greenlee County,AZ,ARIZONA,4.6,4194.28
Other Hay_Non Alfalfa,487.3,4011,Greenlee County,AZ,ARIZONA,5.8,2826.34
Barley,153,4011,Greenlee County,AZ,ARIZONA,4.8,734.4
Alfalfa,76956.6,4012,La Paz County,AZ,ARIZONA,5.8,446348.28
Cotton,9338.1,4012,La Paz County,AZ,ARIZONA,4.6,42955.26
Other Hay_Non Alfalfa,5169.6,4012,La Paz County,AZ,ARIZONA,5.8,29983.68
Alfalfa,153896.2,4013,Maricopa County,AZ,ARIZONA,5.8,892597.96
Cotton,17226,4013,Maricopa County,AZ,ARIZONA,4.6,79239.6
Winter Wheat,14983.4,4013,Maricopa County,AZ,ARIZONA,3.6,53940.24
Corn,11479.1,4013,Maricopa County,AZ,ARIZONA,4.7,53951.77
Millet,7033.9,4013,Maricopa County,AZ,ARIZONA,1,7033.9
Barley,6462.1,4013,Maricopa County,AZ,ARIZONA,4.8,31018.08
Other Hay_Non Alfalfa,4780.4,4013,Maricopa County,AZ,ARIZONA,5.8,27726.32
Alfalfa,15774,4015,Mohave County,AZ,ARIZONA,5.8,91489.2
Cotton,2762.6,4015,Mohave County,AZ,ARIZONA,4.6,12707.96
Winter Wheat,1388.4,4015,Mohave County,AZ,ARIZONA,3.6,4998.24
Cotton,11034.1,4019,Pima County,AZ,ARIZONA,4.6,50756.86
Winter Wheat,6198.4,4019,Pima County,AZ,ARIZONA,3.6,22314.24
Alfalfa,5815.2,4019,Pima County,AZ,ARIZONA,5.8,33728.16
Alfalfa,98486.4,4021,Pinal County,AZ,ARIZONA,5.8,571221.12
Cotton,94787.3,4021,Pinal County,AZ,ARIZONA,4.6,436021.58
Winter Wheat,19417.5,4021,Pinal County,AZ,ARIZONA,3.6,69903
Corn,15772.9,4021,Pinal County,AZ,ARIZONA,4.7,74132.63
Other Hay_Non Alfalfa,4463,4021,Pinal County,AZ,ARIZONA,5.8,25885.4
Alfalfa,810.2,4023,Santa Cruz County,AZ,ARIZONA,5.8,4699.16
Other Hay_Non Alfalfa,262,4023,Santa Cruz County,AZ,ARIZONA,5.8,1519.6
Pistachios,209.9,4023,Santa Cruz County,AZ,ARIZONA,NA,NA
Alfalfa,1611,4025,Yavapai County,AZ,ARIZONA,5.8,9343.8
Winter Wheat,141.2,4025,Yavapai County,AZ,ARIZONA,3.6,508.32
Alfalfa,45670.5,4027,Yuma County,AZ,ARIZONA,5.8,264888.9
Other Hay_Non Alfalfa,14447.9,4027,Yuma County,AZ,ARIZONA,5.8,83797.82
Winter Wheat,937.2,6001,Alameda County,CA,CALIFORNIA,3.6,3373.92
Alfalfa,691.4,6001,Alameda County,CA,CALIFORNIA,5.8,4010.12
Oats,488.8,6001,Alameda County,CA,CALIFORNIA,NA,NA
Grapes,350.3,6001,Alameda County,CA,CALIFORNIA,NA,NA
Other Hay_Non Alfalfa,335.1,6001,Alameda County,CA,CALIFORNIA,5.8,1943.58
Other Hay_Non Alfalfa,191.3,6003,Alpine County,CA,CALIFORNIA,5.8,1109.54
Alfalfa,189.3,6003,Alpine County,CA,CALIFORNIA,5.8,1097.94
Other Hay_Non Alfalfa,926.7,6005,Amador County,CA,CALIFORNIA,5.8,5374.86
Winter Wheat,736.3,6005,Amador County,CA,CALIFORNIA,3.6,2650.68
Grapes,733.7,6005,Amador County,CA,CALIFORNIA,NA,NA
Alfalfa,723,6005,Amador County,CA,CALIFORNIA,5.8,4193.4
Walnuts,226.2,6005,Amador County,CA,CALIFORNIA,NA,NA
Rice,82700.1,6007,Butte County,CA,CALIFORNIA,NA,NA
Walnuts,69530.6,6007,Butte County,CA,CALIFORNIA,NA,NA
Almonds,30149.4,6007,Butte County,CA,CALIFORNIA,NA,NA
Walnuts,431.9,6009,Calaveras County,CA,CALIFORNIA,NA,NA
Almonds,61.2,6009,Calaveras County,CA,CALIFORNIA,NA,NA
Grapes,53.4,6009,Calaveras County,CA,CALIFORNIA,NA,NA
Alfalfa,39.1,6009,Calaveras County,CA,CALIFORNIA,5.8,226.78
Other Hay_Non Alfalfa,21.6,6009,Calaveras County,CA,CALIFORNIA,5.8,125.28
Rice,128478.1,6011,Colusa County,CA,CALIFORNIA,NA,NA
Almonds,64367.7,6011,Colusa County,CA,CALIFORNIA,NA,NA
Walnuts,28996,6011,Colusa County,CA,CALIFORNIA,NA,NA
Tomatoes,10252.4,6011,Colusa County,CA,CALIFORNIA,NA,NA
Alfalfa,8980.1,6011,Colusa County,CA,CALIFORNIA,5.8,52084.58
Winter Wheat,7758,6011,Colusa County,CA,CALIFORNIA,3.6,27928.8
Alfalfa,14672.5,6013,Contra Costa County,CA,CALIFORNIA,5.8,85100.5
Corn,8194.4,6013,Contra Costa County,CA,CALIFORNIA,4.7,38513.68
Winter Wheat,6592.2,6013,Contra Costa County,CA,CALIFORNIA,3.6,23731.92
Grapes,3809.6,6013,Contra Costa County,CA,CALIFORNIA,NA,NA
Safflower,3671.7,6013,Contra Costa County,CA,CALIFORNIA,NA,NA
Other Hay_Non Alfalfa,1491.2,6013,Contra Costa County,CA,CALIFORNIA,5.8,8648.96
Tomatoes,1028.4,6013,Contra Costa County,CA,CALIFORNIA,NA,NA
Winter Wheat,8.2,6015,Del Norte County,CA,CALIFORNIA,3.6,29.52
Other Hay_Non Alfalfa,3.3,6015,Del Norte County,CA,CALIFORNIA,5.8,19.14
Grapes,514.8,6017,El Dorado County,CA,CALIFORNIA,NA,NA
Alfalfa,119,6017,El Dorado County,CA,CALIFORNIA,5.8,690.2
Walnuts,59.8,6017,El Dorado County,CA,CALIFORNIA,NA,NA
Other Hay_Non Alfalfa,48.3,6017,El Dorado County,CA,CALIFORNIA,5.8,280.14
Almonds,273117.5,6019,Fresno County,CA,CALIFORNIA,NA,NA
Grapes,231752.8,6019,Fresno County,CA,CALIFORNIA,NA,NA
Pistachios,105854.5,6019,Fresno County,CA,CALIFORNIA,NA,NA
Winter Wheat,104942.7,6019,Fresno County,CA,CALIFORNIA,3.6,377793.72
Cotton,67518.3,6019,Fresno County,CA,CALIFORNIA,4.6,310584.18
Alfalfa,66028.3,6019,Fresno County,CA,CALIFORNIA,5.8,382964.14
Tomatoes,50930.6,6019,Fresno County,CA,CALIFORNIA,NA,NA
Walnuts,33889.4,6019,Fresno County,CA,CALIFORNIA,NA,NA
Rice,81920.2,6021,Glenn County,CA,CALIFORNIA,NA,NA
Almonds,53068.9,6021,Glenn County,CA,CALIFORNIA,NA,NA
Walnuts,48810.5,6021,Glenn County,CA,CALIFORNIA,NA,NA
Alfalfa,11997.1,6021,Glenn County,CA,CALIFORNIA,5.8,69583.18
Other Hay_Non Alfalfa,10350.7,6021,Glenn County,CA,CALIFORNIA,5.8,60034.06
Winter Wheat,6529.3,6021,Glenn County,CA,CALIFORNIA,3.6,23505.48
Other Hay_Non Alfalfa,9041.7,6023,Humboldt County,CA,CALIFORNIA,5.8,52441.86
Corn,1224.9,6023,Humboldt County,CA,CALIFORNIA,4.7,5757.03
Alfalfa,182284,6025,Imperial County,CA,CALIFORNIA,5.8,1057247.2
Other Hay_Non Alfalfa,52009.2,6025,Imperial County,CA,CALIFORNIA,5.8,301653.36
Winter Wheat,19278.5,6025,Imperial County,CA,CALIFORNIA,3.6,69402.6
Alfalfa,2708.8,6027,Inyo County,CA,CALIFORNIA,5.8,15711.04
Winter Wheat,108.3,6027,Inyo County,CA,CALIFORNIA,3.6,389.88
Almonds,247455.2,6029,Kern County,CA,CALIFORNIA,NA,NA
Pistachios,145186.8,6029,Kern County,CA,CALIFORNIA,NA,NA
Grapes,92678.7,6029,Kern County,CA,CALIFORNIA,NA,NA
Alfalfa,72792.7,6029,Kern County,CA,CALIFORNIA,5.8,422197.66
Winter Wheat,30434.5,6029,Kern County,CA,CALIFORNIA,3.6,109564.2
Cotton,27143.5,6029,Kern County,CA,CALIFORNIA,4.6,124860.1
Cotton,101826.5,6031,Kings County,CA,CALIFORNIA,4.6,468401.9
Pistachios,75087.8,6031,Kings County,CA,CALIFORNIA,NA,NA
Winter Wheat,51637.4,6031,Kings County,CA,CALIFORNIA,3.6,185894.64
Almonds,51280,6031,Kings County,CA,CALIFORNIA,NA,NA
Alfalfa,40900.4,6031,Kings County,CA,CALIFORNIA,5.8,237222.32
Barley,31011.2,6031,Kings County,CA,CALIFORNIA,4.8,148853.76
Walnuts,25466.6,6031,Kings County,CA,CALIFORNIA,NA,NA
Safflower,20481,6031,Kings County,CA,CALIFORNIA,NA,NA
Tomatoes,20055.1,6031,Kings County,CA,CALIFORNIA,NA,NA
Grapes,11664.8,6031,Kings County,CA,CALIFORNIA,NA,NA
Grapes,1719.3,6033,Lake County,CA,CALIFORNIA,NA,NA
Other Hay_Non Alfalfa,980.3,6033,Lake County,CA,CALIFORNIA,5.8,5685.74
Almonds,346,6033,Lake County,CA,CALIFORNIA,NA,NA
Alfalfa,312.2,6033,Lake County,CA,CALIFORNIA,5.8,1810.76
Walnuts,190.1,6033,Lake County,CA,CALIFORNIA,NA,NA
Alfalfa,43353.2,6035,Lassen County,CA,CALIFORNIA,5.8,251448.56
Other Hay_Non Alfalfa,18867.3,6035,Lassen County,CA,CALIFORNIA,5.8,109430.34
Winter Wheat,2838.2,6035,Lassen County,CA,CALIFORNIA,3.6,10217.52
Alfalfa,3045.2,6037,Los Angeles County,CA,CALIFORNIA,5.8,17662.16
Other Hay_Non Alfalfa,1319,6037,Los Angeles County,CA,CALIFORNIA,5.8,7650.2
Barley,850.2,6037,Los Angeles County,CA,CALIFORNIA,4.8,4080.96
Almonds,131510,6039,Madera County,CA,CALIFORNIA,NA,NA
Grapes,105923.7,6039,Madera County,CA,CALIFORNIA,NA,NA
Pistachios,43379,6039,Madera County,CA,CALIFORNIA,NA,NA
Alfalfa,20323.8,6039,Madera County,CA,CALIFORNIA,5.8,117878.04
Winter Wheat,15349.9,6039,Madera County,CA,CALIFORNIA,3.6,55259.64
Oats,3736.7,6041,Marin County,CA,CALIFORNIA,NA,NA
Pistachios,43.4,6043,Mariposa County,CA,CALIFORNIA,NA,NA
Almonds,31.4,6043,Mariposa County,CA,CALIFORNIA,NA,NA
Grapes,28.9,6043,Mariposa County,CA,CALIFORNIA,NA,NA
Winter Wheat,19.8,6043,Mariposa County,CA,CALIFORNIA,3.6,71.28
Walnuts,10.9,6043,Mariposa County,CA,CALIFORNIA,NA,NA
Other Hay_Non Alfalfa,7738.9,6045,Mendocino County,CA,CALIFORNIA,5.8,44885.62
Grapes,2286,6045,Mendocino County,CA,CALIFORNIA,NA,NA
Almonds,146865.6,6047,Merced County,CA,CALIFORNIA,NA,NA
Alfalfa,97328.3,6047,Merced County,CA,CALIFORNIA,5.8,564504.14
Winter Wheat,56714.4,6047,Merced County,CA,CALIFORNIA,3.6,204171.84
Cotton,41564.7,6047,Merced County,CA,CALIFORNIA,4.6,191197.62
Grapes,25035.6,6047,Merced County,CA,CALIFORNIA,NA,NA
Pistachios,23793.3,6047,Merced County,CA,CALIFORNIA,NA,NA
Oats,13749.5,6047,Merced County,CA,CALIFORNIA,NA,NA
Other Hay_Non Alfalfa,11806.7,6047,Merced County,CA,CALIFORNIA,5.8,68478.86
Alfalfa,68683.5,6049,Modoc County,CA,CALIFORNIA,5.8,398364.3
Other Hay_Non Alfalfa,36524.1,6049,Modoc County,CA,CALIFORNIA,5.8,211839.78
Barley,9095.1,6049,Modoc County,CA,CALIFORNIA,4.8,43656.48
Winter Wheat,5403.3,6049,Modoc County,CA,CALIFORNIA,3.6,19451.88
Triticale,4517.5,6049,Modoc County,CA,CALIFORNIA,1.16,5240.3
Alfalfa,3787.8,6051,Mono County,CA,CALIFORNIA,5.8,21969.24
Grapes,71215.7,6053,Monterey County,CA,CALIFORNIA,NA,NA
Other Hay_Non Alfalfa,5981.5,6053,Monterey County,CA,CALIFORNIA,5.8,34692.7
Alfalfa,5408,6053,Monterey County,CA,CALIFORNIA,5.8,31366.4
Oats,4215.5,6053,Monterey County,CA,CALIFORNIA,NA,NA
Winter Wheat,4133,6053,Monterey County,CA,CALIFORNIA,3.6,14878.8
Barley,4017.8,6053,Monterey County,CA,CALIFORNIA,4.8,19285.44
Almonds,2833.3,6053,Monterey County,CA,CALIFORNIA,NA,NA
Walnuts,1813.4,6053,Monterey County,CA,CALIFORNIA,NA,NA
Grapes,35933.2,6055,Napa County,CA,CALIFORNIA,NA,NA
Other Hay_Non Alfalfa,25.1,6057,Nevada County,CA,CALIFORNIA,5.8,145.58
Alfalfa,7.6,6057,Nevada County,CA,CALIFORNIA,5.8,44.08
Oats,8.2,6059,Orange County,CA,CALIFORNIA,NA,NA
Alfalfa,3.8,6059,Orange County,CA,CALIFORNIA,5.8,22.04
Other Hay_Non Alfalfa,1.3,6059,Orange County,CA,CALIFORNIA,5.8,7.54
Rice,7512.7,6061,Placer County,CA,CALIFORNIA,NA,NA
Other Hay_Non Alfalfa,3410.9,6061,Placer County,CA,CALIFORNIA,5.8,19783.22
Winter Wheat,1807.4,6061,Placer County,CA,CALIFORNIA,3.6,6506.64
Walnuts,1734.7,6061,Placer County,CA,CALIFORNIA,NA,NA
Alfalfa,1430.9,6061,Placer County,CA,CALIFORNIA,5.8,8299.22
Alfalfa,13781.6,6063,Plumas County,CA,CALIFORNIA,5.8,79933.28
Other Hay_Non Alfalfa,1885.5,6063,Plumas County,CA,CALIFORNIA,5.8,10935.9
Alfalfa,47435.9,6065,Riverside County,CA,CALIFORNIA,5.8,275128.22
Winter Wheat,38044.4,6065,Riverside County,CA,CALIFORNIA,3.6,136959.84
Grapes,12682.5,6065,Riverside County,CA,CALIFORNIA,NA,NA
Cotton,4512.8,6065,Riverside County,CA,CALIFORNIA,4.6,20758.88
Alfalfa,34200.3,6067,Sacramento County,CA,CALIFORNIA,5.8,198361.74
Other Hay_Non Alfalfa,29512.7,6067,Sacramento County,CA,CALIFORNIA,5.8,171173.66
Grapes,28839.7,6067,Sacramento County,CA,CALIFORNIA,NA,NA
Corn,16815.5,6067,Sacramento County,CA,CALIFORNIA,4.7,79032.85
Winter Wheat,10305.3,6067,Sacramento County,CA,CALIFORNIA,3.6,37099.08
Rice,6133.2,6067,Sacramento County,CA,CALIFORNIA,NA,NA
Oats,5476.7,6067,Sacramento County,CA,CALIFORNIA,NA,NA
Safflower,4538.9,6067,Sacramento County,CA,CALIFORNIA,NA,NA
Walnuts,4441.9,6067,Sacramento County,CA,CALIFORNIA,NA,NA
Grapes,1732.7,6069,San Benito County,CA,CALIFORNIA,NA,NA
Oats,1509.8,6069,San Benito County,CA,CALIFORNIA,NA,NA
Winter Wheat,1014.1,6069,San Benito County,CA,CALIFORNIA,3.6,3650.76
Alfalfa,793.3,6069,San Benito County,CA,CALIFORNIA,5.8,4601.14
Other Hay_Non Alfalfa,623.6,6069,San Benito County,CA,CALIFORNIA,5.8,3616.88
Walnuts,574.4,6069,San Benito County,CA,CALIFORNIA,NA,NA
Safflower,571.1,6069,San Benito County,CA,CALIFORNIA,NA,NA
Corn,543.8,6069,San Benito County,CA,CALIFORNIA,4.7,2555.86
Barley,452.1,6069,San Benito County,CA,CALIFORNIA,4.8,2170.08
Alfalfa,3949.7,6071,San Bernardino County,CA,CALIFORNIA,5.8,22908.26
Winter Wheat,299.3,6071,San Bernardino County,CA,CALIFORNIA,3.6,1077.48
Winter Wheat,590.5,6073,San Diego County,CA,CALIFORNIA,3.6,2125.8
Alfalfa,322,6073,San Diego County,CA,CALIFORNIA,5.8,1867.6
Other Hay_Non Alfalfa,7.6,6075,San Francisco County,CA,CALIFORNIA,5.8,44.08
Oats,0.4,6075,San Francisco County,CA,CALIFORNIA,NA,NA
Walnuts,111222.9,6077,San Joaquin County,CA,CALIFORNIA,NA,NA
Alfalfa,97452.9,6077,San Joaquin County,CA,CALIFORNIA,5.8,565226.82
Grapes,89874.1,6077,San Joaquin County,CA,CALIFORNIA,NA,NA
Almonds,66685.7,6077,San Joaquin County,CA,CALIFORNIA,NA,NA
Winter Wheat,37962.3,6077,San Joaquin County,CA,CALIFORNIA,3.6,136664.28
Corn,31680.3,6077,San Joaquin County,CA,CALIFORNIA,4.7,148897.41
Oats,16857.5,6077,San Joaquin County,CA,CALIFORNIA,NA,NA
Other Hay_Non Alfalfa,15302.1,6077,San Joaquin County,CA,CALIFORNIA,5.8,88752.18
Safflower,14050,6077,San Joaquin County,CA,CALIFORNIA,NA,NA
Grapes,49119.9,6079,San Luis Obispo County,CA,CALIFORNIA,NA,NA
Barley,10065.1,6079,San Luis Obispo County,CA,CALIFORNIA,4.8,48312.48
Other Hay_Non Alfalfa,8547.7,6079,San Luis Obispo County,CA,CALIFORNIA,5.8,49576.66
Alfalfa,3675.7,6079,San Luis Obispo County,CA,CALIFORNIA,5.8,21319.06
Oats,3299,6079,San Luis Obispo County,CA,CALIFORNIA,NA,NA
Dry Beans,2391,6079,San Luis Obispo County,CA,CALIFORNIA,2.3,5499.3
Alfalfa,408.8,6081,San Mateo County,CA,CALIFORNIA,5.8,2371.04
Other Hay_Non Alfalfa,147.2,6081,San Mateo County,CA,CALIFORNIA,5.8,853.76
Winter Wheat,111.2,6081,San Mateo County,CA,CALIFORNIA,3.6,400.32
Walnuts,70.7,6081,San Mateo County,CA,CALIFORNIA,NA,NA
